,predicted_mean
3085,1093.035507152373
3086,1090.1835969849656
3087,1094.6234752014777
3088,1098.0508839916351
3089,1094.3980439246766
3090,1094.2022053845433
3091,1093.6553277204657
3092,1093.8909739282606
3093,1094.1789964576021
3094,1094.0465049618629
3095,1094.0520943717625
3096,1094.001607141843
3097,1094.0078557687057
3098,1094.0246598195683
3099,1094.0207754681674
3100,1094.0229508377759
3101,1094.0195200443923
3102,1094.0194049250485
3103,1094.0201492989033
3104,1094.0200451412725
3105,1094.0202933491594
3106,1094.0201024666303
3107,1094.020079403521
3108,1094.0201020342768
3109,1094.0200963591144
3110,1094.0201164287887
3111,1094.0201073091414
3112,1094.0201060846364
3113,1094.0201062156007
3114,1094.0201056051137
